,Time,Correlation
17,00:46:23,4.511858940124512
33,00:43:21,1.1092737913131714
34,01:25:22,1.0410645008087158
11,01:27:32,0.9929040670394897
31,00:56:01,0.9898774027824402
21,00:22:22,0.9773125052452087
2,01:20:04,0.9650073647499084
14,00:15:38,0.9508110880851746
0,01:08:54,0.9501367211341858
15,00:58:33,0.9308372735977173
8,00:52:53,0.9093385338783264
25,01:18:06,0.8874830007553101
3,00:36:40,0.883734405040741
16,01:11:07,0.8210962414741516
1,00:48:18,0.819913387298584
32,01:14:07,0.8150912523269653
26,00:38:28,0.8062576651573181
28,00:25:50,0.784248411655426
12,00:28:55,0.7633864283561707
5,00:22:31,0.7555167078971863
19,00:32:51,0.7531660199165344
4,01:34:01,0.7486648559570312
30,00:11:35,0.7452126145362854
24,00:50:00,0.7188732624053955
6,01:45:15,0.6806777715682983
22,00:12:58,0.6705130338668823
23,01:06:21,0.6670079231262207
7,01:04:51,0.6415858864784241
37,00:19:42,0.6384722590446472
27,01:30:46,0.6269128918647766
13,01:42:09,0.6114877462387085
9,01:17:12,0.6077632308006287
29,01:42:35,0.596055269241333
36,01:39:40,0.5947855710983276
35,00:31:43,0.5714066028594971
10,00:40:15,0.5509278774261475
20,01:36:08,0.5150710344314575
18,01:22:32,0.5040431618690491
